HIP,赤経時,赤経分,赤経秒,赤緯度,赤緯分,赤緯秒,視等級,年周視差,赤経方向固有運動,赤緯方向固有運動,B-V色指数,V-I色指数,スペクトル分類
677,0,8,23.17,29,5,27,2.07,33.6,135.68,-162.95,-0.038,-0.1,B9p
746,0,9,10.09,59,9,0.8,2.28,59.89,523.39,-180.42,0.38,0.4,F2III-IV
765,0,9,24.54,-45,44,49.2,3.88,23.28,122.15,-180.13,1.013,1,K0III
1067,0,13,14.15,15,11,1,2.83,9.79,4.7,-8.24,-0.19,-0.22,B2IV
1562,0,19,25.68,-8,49,25.8,3.56,11.26,-14.37,-37.84,1.214,1.13,K2III
1599,0,20,1.91,-64,52,39.4,4.23,116.38,1707.56,1165.36,0.576,0.65,F9V
1645,0,20,35.86,8,11,24.9,5.38,8.26,-4.5,9.59,1.343,1.28,K3III
2021,0,25,39.2,-77,15,18.1,2.82,133.78,2220.12,324.37,0.618,0.68,G2IV
2072,0,26,12.12,-43,40,47.7,3.93,42.51,106.14,32.83,0.175,0.2,A7V
2081,0,26,16.87,-42,18,18.4,2.4,42.14,232.76,-353.64,1.083,1.11,K0III...
2484,0,31,32.56,-62,57,29.1,4.36,23.35,82.48,-54.37,-0.064,-0.02,B9V
3092,0,39,19.6,30,51,40.4,3.27,32.19,115.38,-83.05,1.268,1.23,K3III...
3179,0,40,30.39,56,32,14.7,2.24,14.27,50.36,-32.17,1.17,1.13,K0II-IIIvar
3419,0,43,35.23,-17,59,12.1,2.04,34.04,232.79,32.71,1.019,1,K0III
3760,0,48,17.34,7,17,59.7,5.92,4.93,111.61,3.41,1.104,1.07,G8III
3881,0,49,48.83,41,4,44.2,4.53,4.8,22.68,-18.05,-0.136,-0.14,B5V SB
4427,0,56,42.5,60,43,0.3,2.15,5.32,25.65,-3.82,-0.046,-0.02,B0IV:evar
4436,0,56,45.1,38,29,57.3,3.86,23.93,152.78,36.82,0.13,0.14,A5V
4577,0,58,36.35,-29,21,26.9,4.3,4.85,22.44,6.3,-0.154,-0.12,B7IIIp
4889,1,2,49.09,31,48,15.6,5.5,7.87,15.53,-30.38,-0.043,-0.02,B9.5V
4906,1,2,56.66,7,53,24.3,4.27,17.14,-80.57,25.88,0.952,0.98,K0III
5165,1,6,5.11,-46,43,6.6,3.32,16.46,-70.16,31.6,0.885,0.9,G8IIIvar
5348,1,8,23.06,-55,14,45,3.94,11.66,21.17,29.7,-0.12,-0.08,B6V + B0V
5364,1,8,35.26,-10,10,54.9,3.46,27.73,215.81,-138.33,1.161,1.11,K2III
5447,1,9,43.8,35,37,15,2.07,16.36,175.59,-112.23,1.576,1.74,M0IIIvar
5742,1,13,44.94,24,35,1.6,4.67,8.64,18.58,-21.26,1.047,1.02,K0III...
6193,1,19,27.98,27,15,50.7,4.74,10.49,26.21,-11.62,0.032,0.1,A3V
6537,1,24,1.45,-8,10,57.9,3.6,28.48,-78.38,-206.88,1.065,1.05,K0III
6686,1,25,48.6,60,14,7.5,2.66,32.81,297.24,-49.49,0.16,0.19,A5Vv SB
6867,1,28,21.94,-43,19,3.8,3.41,13.94,-18.21,-207.71,1.542,1.73,K5II-III
7007,1,30,10.94,6,8,38.2,4.84,9.05,293.23,-46.36,1.372,1.42,K4III
7083,1,31,14.98,-49,4,23.1,3.93,22.15,138.22,154.2,0.972,1,K0III-IV
7097,1,31,28.99,15,20,45,3.62,11.09,25.73,-3.29,0.974,0.94,G8III
